Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Cincinnati Reds,Ellis,Sammy,16.00,5,14,5,14,2,5,0,0,0,1,1,R,27.70,0.00,0.00,2.81,10.69,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
Cincinnati Reds,Maloney,Jim,18.00,8,15,11,17,1,5,2,0,0,3,0,R,25.60,0.00,0.00,4.00,13.00,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
Cincinnati Reds,Jay,Joey,18.00,4,17,3,11,1,5,2,0,0,1,1,R,32.75,0.00,0.00,2.00,10.00,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
Cincinnati Reds,O'Toole,Jim,1.00,0,0,1,0,0,5,0,0,0,1,1,R,35.80,0.00,0.00,0.00,9.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
Cincinnati Reds,Nuxhall,Joe,15.00,14,24,3,14,1,5,0,2,0,2,2,R,24.70,0.00,0.00,8.40,16.20,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
Cincinnati Reds,McCool,Bill,1.00,1,2,2,2,0,5,0,1,0,0,1,R,29.00,0.00,0.00,5.63,22.50,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
Cincinnati Reds,Craig,Roger,1.00,0,1,0,1,0,5,1,0,1,0,2,R,35.50,0.00,0.00,0.00,9.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
Cincinnati Reds,Tsitouris,John,18.00,8,15,6,8,1,5,2,0,0,1,1,R,38.25,0.00,0.00,4.00,10.50,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,E
